attendance,internal_marks,behavior_score,study_hours,final_result,risk_level
47,56,8,1.3,0,High
89,46,6,3.8,0,Medium
67,73,8,5.4,0,Medium
59,74,1,4.3,0,High
86,37,1,5.3,0,High
98,47,9,2.3,0,Medium
46,62,4,2.0,0,High
50,30,3,5.2,0,High
59,35,6,2.7,0,High
55,70,9,4.4,0,High
43,84,4,1.3,0,High
45,34,9,4.7,0,High
97,88,5,3.5,1,Low
61,47,7,2.0,0,Medium
65,78,3,3.2,0,Medium
42,94,3,4.3,0,High
80,83,3,0.6,0,Low
99,90,8,4.0,1,Low
81,37,6,3.5,0,High
53,32,9,1.7,0,High
50,54,9,4.6,0,High
57,98,8,2.2,0,High
93,84,1,2.0,0,High
51,69,6,3.1,0,High
62,79,4,4.2,0,Medium
51,62,4,5.6,0,High
52,47,3,1.3,0,High
64,86,9,2.7,0,Medium
84,45,2,0.9,0,High
90,67,1,4.7,0,High
97,70,3,3.0,0,Low
58,36,4,4.4,0,High
94,82,4,2.3,1,Low
85,92,6,5.1,1,Low
75,61,1,3.4,0,High
84,67,1,5.7,0,High
47,51,2,0.9,0,High
68,45,4,3.3,0,Medium
94,81,7,4.7,1,Low
92,58,6,3.8,1,Medium
94,45,9,0.6,0,Medium
71,46,7,5.8,0,Medium
90,93,5,2.1,1,Low
83,42,6,1.9,0,High
57,85,9,3.2,0,High
45,34,1,3.5,0,High
57,41,9,4.7,0,High
58,70,6,2.7,0,High
61,32,4,2.9,0,High
76,62,5,3.4,1,Low
71,79,1,2.7,0,High
95,85,7,5.5,1,Low
80,38,8,5.2,0,High
98,79,5,3.0,1,Low
42,58,2,0.5,0,High
67,68,8,5.5,0,Medium
49,74,7,1.2,0,High
90,46,9,1.8,0,Medium
74,85,4,1.3,1,Medium
68,75,9,1.5,0,Medium
93,96,4,4.9,1,Low
54,98,3,3.7,0,High
72,43,3,5.8,0,High
46,96,2,1.8,0,High
51,52,3,3.2,0,High
88,90,8,5.9,1,Low
69,52,8,5.0,0,Medium
60,56,2,4.5,0,High
70,83,2,1.5,0,High
97,39,2,4.7,0,High
63,45,7,2.4,0,Medium
59,70,6,3.4,0,High
76,84,1,3.9,0,High
43,90,2,3.9,0,High
67,78,1,4.5,0,High
83,81,7,4.1,1,Low
59,31,6,0.9,0,High
99,79,2,3.0,0,High
63,72,2,4.2,0,High
89,37,2,2.1,0,High
88,88,8,2.2,1,Low
90,94,7,1.2,1,Low
71,41,1,2.8,0,High
80,33,4,5.9,0,High
75,70,4,2.1,1,Low
97,36,7,3.4,0,High
92,98,2,4.6,0,High
73,98,4,0.6,1,Medium
75,59,1,5.5,0,High
41,35,4,2.6,0,High
54,48,1,5.3,0,High
73,95,2,0.7,0,High
75,39,2,1.3,0,High
45,45,3,2.3,0,High
78,66,8,2.4,1,Low
81,61,6,5.2,1,Low
90,76,6,0.6,1,Low
90,72,9,4.0,1,Low
97,65,8,1.2,1,Low
93,55,2,5.0,0,High
51,39,6,4.8,0,High
42,60,1,3.2,0,High
84,58,9,1.7,1,Medium
57,34,4,4.0,0,High
79,30,4,1.4,0,High
60,32,9,1.5,0,High
54,96,3,3.9,0,High
72,64,5,6.0,1,Medium
74,44,1,5.4,0,High
65,96,6,3.8,0,Medium
47,59,3,3.5,0,High
75,72,1,6.0,0,High
87,89,6,3.5,1,Low
69,69,2,2.8,0,High
62,94,8,5.5,0,Medium
81,58,2,1.8,0,High
83,48,4,1.0,0,Medium
53,32,3,4.0,0,High
53,65,9,1.0,0,High
41,72,2,2.6,0,High
94,44,3,2.8,0,High
76,70,7,3.5,1,Low
44,65,4,6.0,0,High
77,62,6,1.7,1,Low
84,34,3,2.6,0,High
80,43,1,1.2,0,High
93,97,6,3.8,1,Low
99,76,4,4.5,1,Low
86,83,2,3.2,0,High
53,33,7,1.9,0,High
95,38,5,3.9,0,High
78,82,6,3.5,1,Low
64,89,6,1.4,0,Medium
59,75,9,2.7,0,High
41,83,2,2.9,0,High
78,66,6,5.9,1,Low
45,52,9,5.2,0,High
56,56,4,4.5,0,High
98,99,6,5.4,1,Low
64,95,7,4.5,0,Medium
96,90,1,5.5,0,High
67,80,5,0.8,0,Medium
41,79,4,3.0,0,High
74,48,2,4.6,0,High
76,30,2,3.7,0,High
44,69,2,1.5,0,High
40,61,7,2.4,0,High
79,51,4,2.2,0,Medium
51,95,6,1.9,0,High
95,69,7,2.4,1,Low
75,67,9,3.3,1,Low
84,77,2,5.2,0,High
62,84,9,4.6,0,Medium
86,84,5,5.1,1,Low
70,80,6,5.4,1,Medium
50,89,6,2.8,0,High
49,37,3,2.4,0,High
42,97,7,0.8,0,High
93,38,7,5.6,0,High
53,31,8,0.9,0,High
55,99,5,4.6,0,High
49,88,2,2.6,0,High
68,48,3,5.7,0,Medium
49,57,9,2.8,0,High
51,43,6,5.0,0,High
69,53,8,2.1,0,Medium
80,73,8,2.1,1,Low
40,85,5,3.8,0,High
44,80,1,6.0,0,High
59,61,6,3.3,0,High
47,79,7,5.6,0,High
82,70,9,4.8,1,Low
51,95,2,4.9,0,High
40,54,2,2.9,0,High
96,90,1,2.6,0,High
93,95,5,1.6,1,Low
59,71,2,5.8,0,High
67,94,3,5.8,0,Medium
96,65,2,4.6,0,High
82,38,4,2.1,0,High
76,65,3,1.8,0,Low
86,67,9,5.9,1,Low
76,62,2,0.9,0,High
51,71,7,5.1,0,High
76,90,3,2.5,0,Low
88,75,8,2.8,1,Low
88,90,4,5.1,1,Low
95,47,4,1.0,0,Medium
83,99,9,2.4,1,Low
95,44,3,5.7,0,High
67,77,7,4.3,0,Medium
86,42,1,4.7,0,High
54,72,7,4.7,0,High
45,89,2,0.8,0,High
83,86,6,1.6,1,Low
98,46,9,3.2,0,Medium
59,79,6,2.5,0,High
89,61,3,2.8,0,Low
53,51,1,4.8,0,High
41,84,4,0.6,0,High
48,86,4,4.1,0,High
76,42,8,0.5,0,High
59,76,7,0.8,0,High
65,91,7,2.7,0,Medium
68,83,7,5.1,0,Medium
40,58,2,1.3,0,High
94,51,9,3.6,0,Medium
74,94,6,4.2,1,Medium
45,58,2,1.8,0,High
76,77,1,3.3,0,High
92,34,1,5.5,0,High
98,64,1,3.3,0,High
44,75,4,1.4,0,High
72,64,4,4.0,1,Medium
88,74,9,3.8,1,Low
90,42,1,0.6,0,High
53,39,3,1.0,0,High
51,95,3,1.4,0,High
81,99,8,1.2,1,Low
59,54,2,1.9,0,High
92,73,6,3.0,1,Low
89,89,4,2.5,1,Low
63,76,6,5.4,0,Medium
98,69,5,3.9,1,Low
82,36,9,5.3,0,High
73,75,9,3.4,1,Medium
64,52,1,1.0,0,High
89,75,3,3.0,0,Low
68,42,1,5.0,0,High
96,50,6,1.6,0,Medium
78,30,3,1.0,0,High
70,48,1,2.3,0,High
95,89,6,2.6,1,Low
86,62,5,2.2,1,Low
82,33,8,1.2,0,High
89,32,2,1.9,0,High
62,81,8,4.3,0,Medium
83,57,5,2.6,1,Medium
77,99,8,4.0,1,Low
59,99,4,3.4,0,High
62,84,4,3.5,0,Medium
84,86,4,1.9,1,Low
91,45,6,3.4,0,Medium
55,53,4,0.6,0,High
89,98,9,2.9,1,Low
81,70,9,3.6,1,Low
99,76,3,1.5,0,Low
94,98,7,1.9,1,Low
47,60,5,1.7,0,High
89,59,9,0.9,1,Medium
60,47,2,2.4,0,High
40,73,3,5.9,0,High
94,56,5,2.4,1,Medium
47,55,5,3.0,0,High
68,89,7,4.1,0,Medium
71,47,8,4.1,0,Medium
77,85,8,5.7,1,Low
44,60,1,5.2,0,High
86,88,1,4.9,0,High
61,31,3,5.7,0,High
86,68,1,1.8,0,High
73,90,1,3.9,0,High
40,92,8,5.4,0,High
94,47,1,3.9,0,High
94,46,9,5.9,0,Medium
65,68,2,1.1,0,High
82,83,9,2.9,1,Low
49,64,7,5.9,0,High
69,40,9,2.6,0,High
89,90,3,4.6,0,Low
57,73,1,0.7,0,High
56,97,1,4.3,0,High
65,54,6,5.6,0,Medium
47,77,7,2.6,0,High
86,61,9,0.6,1,Low
79,33,6,0.7,0,High
88,67,5,5.4,1,Low
51,92,2,4.5,0,High
66,76,2,1.1,0,High
47,30,8,0.8,0,High
64,32,1,4.9,0,High
85,91,8,5.0,1,Low
43,93,7,1.2,0,High
72,46,7,2.2,0,Medium
40,91,5,4.8,0,High
58,64,3,3.4,0,High
70,42,7,5.8,0,High
55,64,7,3.1,0,High
53,72,7,4.2,0,High
92,31,2,3.3,0,High
87,85,3,5.7,0,Low
44,80,3,2.7,0,High
80,83,4,1.8,1,Low
65,45,9,2.3,0,Medium
67,47,1,5.2,0,High
41,36,7,3.2,0,High
89,74,7,2.4,1,Low
45,65,4,3.5,0,High
48,70,1,1.2,0,High
72,71,3,0.5,0,Medium
80,36,5,2.0,0,High
64,44,2,3.8,0,High
87,89,7,4.4,1,Low
52,69,7,5.0,0,High
48,66,5,5.6,0,High
92,95,6,2.8,1,Low
52,84,1,4.6,0,High
70,85,4,0.9,1,Medium
80,73,4,0.8,1,Low
50,86,8,1.2,0,High
43,35,2,3.0,0,High
73,61,1,1.7,0,High
77,47,7,2.1,0,Medium
85,97,6,4.1,1,Low
43,36,5,2.5,0,High
77,37,8,3.6,0,High
58,93,2,2.8,0,High
45,36,2,1.4,0,High
73,70,9,0.9,1,Medium
57,69,1,1.8,0,High
52,32,6,0.8,0,High
80,46,3,3.9,0,Medium
62,95,5,4.9,0,Medium
58,81,8,2.4,0,High
84,51,7,2.6,0,Medium
50,33,4,5.0,0,High
40,35,8,1.7,0,High
63,67,2,1.2,0,High
93,55,7,3.3,1,Medium
46,40,5,4.1,0,High
64,46,6,3.8,0,Medium
60,60,3,4.4,0,Medium
54,64,7,0.8,0,High
40,45,7,2.9,0,High
51,47,2,1.8,0,High
97,91,1,4.7,0,High
46,56,2,5.3,0,High
54,64,8,2.0,0,High
60,74,3,1.0,0,Medium
58,64,4,1.9,0,High
99,57,8,1.1,1,Medium
68,38,3,2.3,0,High
64,44,6,3.5,0,High
72,50,2,5.9,0,High
88,81,3,2.7,0,Low
71,64,1,1.7,0,High
88,80,9,1.4,1,Low
74,84,4,1.5,1,Medium
83,73,6,1.6,1,Low
77,94,7,4.7,1,Low
65,54,2,0.8,0,High
50,76,8,6.0,0,High
74,85,9,3.4,1,Medium
47,67,2,3.5,0,High
85,40,5,2.5,0,High
53,96,2,4.3,0,High
49,44,5,3.1,0,High
41,30,7,2.3,0,High
85,36,6,2.0,0,High
48,30,4,5.6,0,High
42,78,2,2.1,0,High
60,58,7,2.9,0,Medium
65,55,9,2.4,0,Medium
47,74,1,1.0,0,High
87,41,3,1.5,0,High
41,61,7,1.5,0,High
45,49,9,4.3,0,High
67,80,5,2.7,0,Medium
92,65,7,4.8,1,Low
68,96,7,4.4,0,Medium
65,30,4,1.6,0,High
64,56,5,3.6,0,Medium
51,69,2,4.6,0,High
44,43,8,4.0,0,High
73,98,1,3.8,0,High
87,35,2,4.6,0,High
76,62,3,0.8,0,Low
54,84,7,4.5,0,High
83,48,6,2.0,0,Medium
75,58,7,3.6,1,Medium
54,90,5,1.8,0,High
82,99,4,5.1,1,Low
87,53,7,3.1,0,Medium
62,52,3,4.0,0,Medium
45,39,7,4.9,0,High
85,83,2,5.4,0,High
89,70,8,4.5,1,Low
83,78,6,1.3,1,Low
98,46,3,5.2,0,Medium
82,85,3,3.9,0,Low
84,74,5,3.9,1,Low
60,59,3,5.6,0,Medium
62,73,6,1.9,0,Medium
82,84,2,1.8,0,High
94,48,8,3.3,0,Medium
55,58,9,4.6,0,High
86,31,7,3.0,0,High
92,65,3,4.0,0,Low
99,48,4,3.0,0,Medium
54,36,2,3.9,0,High
64,55,9,5.0,0,Medium
75,67,5,1.5,1,Low
50,32,2,4.3,0,High
90,95,6,4.8,1,Low
54,72,7,3.0,0,High
43,91,2,2.3,0,High
60,53,1,0.6,0,High
52,68,7,4.9,0,High
61,97,1,2.3,0,High
58,73,3,2.5,0,High
73,34,4,2.3,0,High
53,84,2,3.2,0,High
43,59,7,4.4,0,High
87,58,5,4.7,1,Medium
92,55,1,2.7,0,High
91,55,8,4.1,1,Medium
85,66,7,4.5,1,Low
66,82,4,2.1,0,Medium
68,59,2,1.0,0,High
86,32,7,5.4,0,High
67,72,2,4.2,0,High
74,36,6,4.1,0,High
47,78,1,0.8,0,High
55,70,7,5.0,0,High
81,83,7,3.6,1,Low
75,98,4,5.2,1,Low
69,56,4,5.9,0,Medium
57,37,5,5.8,0,High
41,61,2,5.2,0,High
88,93,9,0.6,1,Low
52,39,4,5.4,0,High
43,42,9,0.9,0,High
65,92,3,5.2,0,Medium
64,64,9,2.0,0,Medium
69,90,1,3.9,0,High
50,83,7,0.7,0,High
46,37,4,4.7,0,High
70,58,7,1.1,1,Medium
83,70,6,2.8,1,Low
49,59,4,5.0,0,High
78,50,4,4.3,0,Medium
52,40,8,0.5,0,High
70,31,7,2.7,0,High
46,79,4,0.7,0,High
95,70,6,4.2,1,Low
88,95,6,5.8,1,Low
81,32,1,4.1,0,High
81,80,2,1.7,0,High
95,97,4,2.5,1,Low
75,54,6,5.9,0,Medium
59,59,6,1.7,0,High
43,40,1,3.6,0,High
93,46,8,2.7,0,Medium
46,55,2,4.7,0,High
93,52,5,5.3,0,Medium
40,85,4,2.4,0,High
83,81,5,4.1,1,Low
95,77,5,3.5,1,Low
84,49,8,2.0,0,Medium
81,31,7,2.0,0,High
86,60,9,3.5,1,Low
98,56,1,1.3,0,High
52,31,6,5.0,0,High
94,33,6,0.9,0,High
61,42,2,1.0,0,High
93,64,8,2.4,1,Low
60,95,6,1.1,0,Medium
61,35,9,3.1,0,High
67,60,5,2.7,0,Medium
48,39,7,4.5,0,High
65,50,6,5.7,0,Medium
48,52,5,4.6,0,High
54,32,6,1.5,0,High
49,61,4,5.6,0,High
63,49,3,2.7,0,Medium
97,58,1,3.1,0,High
96,81,1,2.8,0,High
81,75,6,2.0,1,Low
47,63,9,5.4,0,High
63,90,8,2.3,0,Medium
55,99,2,3.7,0,High
88,40,9,1.8,0,High
65,92,8,4.9,0,Medium
66,50,9,4.8,0,Medium
76,32,4,2.1,0,High
43,39,9,4.2,0,High
89,56,2,4.4,0,High
63,41,1,3.6,0,High
58,36,9,3.8,0,High
75,46,8,3.7,0,Medium
99,94,7,1.0,1,Low
78,93,8,4.2,1,Low
49,55,1,3.1,0,High
64,44,9,2.9,0,High
57,62,9,5.2,0,High
58,91,9,0.6,0,High
75,76,6,1.9,1,Low
49,64,4,1.2,0,High
72,94,2,0.7,0,High
94,54,4,2.0,0,Medium
89,86,7,5.9,1,Low
44,61,1,2.0,0,High
86,92,9,4.2,1,Low
88,41,3,1.2,0,High
74,92,4,3.8,1,Medium
83,30,5,5.9,0,High
73,80,3,2.1,0,Medium
72,99,4,5.2,1,Medium
94,37,5,6.0,0,High
60,97,1,3.7,0,High
56,34,9,2.2,0,High
61,68,4,4.2,0,Medium
87,52,9,5.1,0,Medium
76,97,4,1.4,1,Low
54,81,1,3.0,0,High
74,33,5,2.3,0,High
67,76,9,2.1,0,Medium
46,50,3,5.2,0,High
71,85,5,2.8,1,Medium
50,95,3,2.4,0,High
49,88,3,3.8,0,High
48,36,1,1.7,0,High
53,78,2,1.8,0,High
52,45,2,3.4,0,High
96,46,9,2.8,0,Medium
64,63,7,2.1,0,Medium
41,62,8,0.8,0,High
74,55,2,3.4,0,High
46,95,9,5.0,0,High
60,92,3,5.2,0,Medium
57,70,2,1.8,0,High
42,87,1,3.8,0,High
81,39,9,5.2,0,High
93,44,8,2.7,0,High
78,71,4,5.6,1,Low
80,86,7,5.5,1,Low
88,46,3,1.6,0,Medium
50,89,3,1.9,0,High
78,38,4,1.5,0,High
63,65,2,1.6,0,High
99,65,4,5.5,1,Low
85,77,3,5.6,0,Low
58,80,8,0.8,0,High
43,99,2,3.8,0,High
65,97,9,3.6,0,Medium
77,51,3,2.6,0,Medium
81,35,4,4.0,0,High
71,55,3,5.7,0,Medium
78,32,3,1.4,0,High
84,81,8,1.2,1,Low
85,89,8,0.7,1,Low
75,92,6,2.5,1,Low
79,94,4,2.4,1,Low
76,81,1,2.9,0,High
72,43,4,3.3,0,High
75,97,8,4.7,1,Low
42,57,6,2.7,0,High
48,39,2,2.3,0,High
47,86,3,5.0,0,High
72,95,7,5.2,1,Medium
98,79,4,1.8,1,Low
45,43,4,2.2,0,High
80,45,5,5.0,0,Medium
78,83,8,0.9,1,Low
43,72,7,2.3,0,High
52,71,9,3.0,0,High
88,51,5,1.5,0,Medium
99,97,1,1.5,0,High
41,48,4,2.8,0,High
99,95,6,4.6,1,Low
44,68,6,5.1,0,High
83,48,9,5.9,0,Medium
66,45,5,0.9,0,Medium
71,83,5,1.7,1,Medium
60,54,6,4.7,0,Medium
47,47,6,3.5,0,High
77,52,3,2.3,0,Medium
47,40,6,1.6,0,High
89,68,8,2.0,1,Low
42,97,6,2.9,0,High
93,54,5,1.5,0,Medium
83,92,3,5.8,0,Low
97,59,1,1.1,0,High
42,74,5,5.9,0,High
61,90,6,5.1,0,Medium
45,80,6,2.8,0,High
41,38,6,4.6,0,High
62,31,3,4.2,0,High
83,34,4,1.7,0,High
41,91,3,2.4,0,High
77,98,2,3.3,0,High
56,81,8,4.0,0,High
74,34,7,3.5,0,High
73,88,8,3.1,1,Medium
62,97,6,2.9,0,Medium
69,38,7,3.2,0,High
91,51,1,2.9,0,High
47,56,5,3.5,0,High
61,39,4,5.4,0,High
83,90,3,4.0,0,Low
97,80,2,4.5,0,High
75,39,9,3.8,0,High
44,35,8,4.0,0,High
52,91,2,3.7,0,High
68,34,6,0.6,0,High
70,99,3,6.0,0,Medium
86,92,3,0.7,0,Low
96,85,5,2.7,1,Low
94,88,7,1.1,1,Low
55,92,7,1.0,0,High
81,88,1,4.9,0,High
69,80,7,2.8,0,Medium
96,79,7,4.9,1,Low
94,33,6,2.0,0,High
55,77,6,1.9,0,High
51,61,2,1.9,0,High
56,80,3,3.9,0,High
55,81,3,5.0,0,High
51,63,3,3.0,0,High
47,65,2,2.6,0,High
59,99,9,5.9,0,High
42,72,6,1.1,0,High
55,45,2,3.2,0,High
69,88,3,2.7,0,Medium
84,82,6,1.0,1,Low
62,48,4,2.0,0,Medium
67,70,7,0.7,0,Medium
90,76,6,5.3,1,Low
79,83,6,3.8,1,Low
93,84,3,5.0,0,Low
44,48,8,3.4,0,High
59,91,9,3.8,0,High
79,88,6,4.4,1,Low
95,94,2,5.5,0,High
83,97,1,1.0,0,High
40,57,3,2.3,0,High
96,47,3,4.4,0,Medium
69,55,8,5.8,0,Medium
60,48,5,5.9,0,Medium
59,84,1,4.0,0,High
45,86,4,1.6,0,High
61,35,7,1.2,0,High
57,30,5,5.7,0,High
47,37,6,2.9,0,High
78,80,4,1.6,1,Low
71,54,2,5.6,0,High
72,76,9,1.1,1,Medium
92,84,2,4.5,0,High
55,93,2,3.9,0,High
51,39,2,1.0,0,High
77,85,1,2.4,0,High
91,41,3,1.3,0,High
73,62,6,3.8,1,Medium
53,46,7,3.1,0,High
75,90,1,0.5,0,High
72,39,5,5.9,0,High
62,60,5,2.4,0,Medium
89,89,1,1.9,0,High
84,99,4,1.7,1,Low
41,46,1,1.4,0,High
80,79,1,6.0,0,High
60,66,7,2.1,0,Medium
41,91,7,2.7,0,High
66,58,3,5.3,0,Medium
96,61,7,4.0,1,Low
48,40,3,2.5,0,High
40,35,2,5.4,0,High
50,64,4,4.6,0,High
42,62,3,1.8,0,High
91,47,7,4.0,0,Medium
62,66,1,5.6,0,High
65,42,6,3.2,0,High
43,93,2,4.5,0,High
57,30,8,5.8,0,High
94,92,5,4.3,1,Low
45,63,3,1.1,0,High
74,39,7,1.8,0,High
61,36,2,3.8,0,High
82,85,5,2.0,1,Low
54,66,8,5.8,0,High
61,58,1,2.7,0,High
99,41,1,3.0,0,High
76,46,3,4.4,0,Medium
91,77,3,3.4,0,Low
81,55,7,2.6,1,Medium
51,41,6,0.9,0,High
86,50,7,3.8,0,Medium
88,71,4,5.3,1,Low
81,90,2,4.3,0,High
77,87,2,2.6,0,High
57,83,1,1.2,0,High
84,63,9,5.0,1,Low
74,36,7,5.7,0,High
69,64,3,2.6,0,Medium
63,44,2,4.5,0,High
81,94,3,2.8,0,Low
69,54,7,3.3,0,Medium
53,88,5,5.1,0,High
45,35,3,1.0,0,High
42,81,9,3.4,0,High
55,50,2,1.7,0,High
46,61,7,2.4,0,High
91,82,6,4.0,1,Low
53,88,6,0.6,0,High
48,98,7,3.8,0,High
54,91,6,2.1,0,High
60,33,2,4.2,0,High
74,47,5,1.3,0,Medium
41,85,3,4.5,0,High
66,53,9,4.1,0,Medium
41,95,8,5.8,0,High
74,42,2,5.5,0,High
57,91,1,2.1,0,High
53,83,4,0.7,0,High
59,44,4,4.1,0,High
57,98,2,3.8,0,High
49,32,7,0.7,0,High
64,66,3,1.2,0,Medium
41,66,7,3.7,0,High
64,32,7,5.5,0,High
93,92,1,5.5,0,High
72,64,6,1.3,1,Medium
75,81,4,2.6,1,Low
70,57,8,0.7,1,Medium
53,47,8,3.1,0,High
40,65,3,4.6,0,High
85,62,4,4.8,1,Low
55,93,1,3.2,0,High
93,55,2,1.0,0,High
85,77,7,2.6,1,Low
91,69,7,5.6,1,Low
42,46,9,1.8,0,High
74,69,9,2.3,1,Medium
80,36,9,4.6,0,High
45,86,6,4.5,0,High
64,37,8,5.5,0,High
52,85,9,2.6,0,High
92,60,7,3.3,1,Low
73,88,4,3.1,1,Medium
47,87,4,5.6,0,High
60,41,6,4.7,0,High
73,77,4,5.1,1,Medium
43,60,7,1.2,0,High
64,92,8,4.9,0,Medium
54,68,8,2.9,0,High
43,49,8,0.6,0,High
84,77,2,0.8,0,High
99,83,2,4.2,0,High
51,58,2,2.5,0,High
71,77,2,5.3,0,High
71,85,4,4.5,1,Medium
67,46,5,0.6,0,Medium
52,38,4,4.3,0,High
70,63,5,1.6,1,Medium
53,74,4,2.8,0,High
59,38,7,3.9,0,High
57,36,1,5.3,0,High
68,45,1,3.0,0,High
99,48,2,4.9,0,High
45,35,1,4.8,0,High
71,40,3,2.8,0,High
68,90,6,3.3,0,Medium
82,71,6,4.4,1,Low
41,42,1,0.7,0,High
99,41,6,5.4,0,High
62,49,5,4.7,0,Medium
58,79,7,1.9,0,High
70,65,6,5.9,1,Medium
90,98,7,1.5,1,Low
44,66,2,5.5,0,High
58,41,1,2.3,0,High
73,69,7,4.7,1,Medium
49,83,9,3.0,0,High
64,31,2,4.6,0,High
41,79,7,1.4,0,High
50,70,3,2.0,0,High
89,74,6,1.0,1,Low
70,38,3,5.3,0,High
95,91,5,2.1,1,Low
54,76,2,4.3,0,High
48,34,8,5.0,0,High
62,30,8,5.5,0,High
58,73,7,1.1,0,High
48,51,6,5.4,0,High
74,67,1,1.6,0,High
60,48,8,4.6,0,Medium
48,60,1,4.5,0,High
67,96,8,0.5,0,Medium
85,71,2,1.7,0,High
90,55,8,3.2,1,Medium
46,42,4,2.8,0,High
55,87,7,5.6,0,High
55,47,5,2.5,0,High
99,96,8,5.7,1,Low
72,32,6,3.0,0,High
43,84,5,5.8,0,High
43,87,1,4.6,0,High
78,92,3,5.1,0,Low
79,81,9,1.1,1,Low
56,53,9,3.7,0,High
76,38,5,1.3,0,High
78,66,3,2.1,0,Low
99,82,6,3.9,1,Low
91,53,5,4.5,0,Medium
68,50,1,0.7,0,High
91,69,2,3.4,0,High
75,91,5,3.6,1,Low
99,99,9,0.9,1,Low
77,98,4,3.3,1,Low
78,43,9,4.4,0,High
89,71,3,0.8,0,Low
76,79,1,4.7,0,High
91,90,6,3.7,1,Low
74,33,7,5.1,0,High
46,46,4,1.7,0,High
66,86,5,5.1,0,Medium
67,77,4,1.0,0,Medium
61,73,3,2.7,0,Medium
53,74,1,1.6,0,High
46,62,6,5.3,0,High
76,60,5,4.4,1,Low
61,76,1,0.6,0,High
44,35,5,0.6,0,High
94,63,6,2.1,1,Low
41,82,5,1.3,0,High
66,43,1,4.0,0,High
60,45,5,4.2,0,Medium
93,72,1,5.7,0,High
77,41,3,5.7,0,High
54,99,2,4.1,0,High
60,48,1,0.5,0,High
49,70,4,2.5,0,High
62,82,2,3.3,0,High
97,58,5,3.2,1,Medium
95,99,1,3.8,0,High
78,88,1,5.8,0,High
44,93,4,5.4,0,High
40,53,7,1.1,0,High
52,45,2,2.0,0,High
60,81,2,5.1,0,High
65,35,1,5.0,0,High
89,66,5,2.0,1,Low
84,33,6,4.5,0,High
60,67,6,4.2,0,Medium
92,70,2,3.1,0,High
57,43,7,1.6,0,High
76,80,6,5.4,1,Low
84,94,8,4.2,1,Low
71,81,6,1.4,1,Medium
75,59,9,4.4,1,Medium
56,86,2,4.6,0,High
74,59,7,5.4,1,Medium
88,71,5,1.7,1,Low
99,40,1,5.9,0,High
50,56,3,1.3,0,High
60,53,4,3.8,0,Medium
91,68,2,4.1,0,High
94,47,7,2.8,0,Medium
92,74,1,3.1,0,High
65,41,3,5.4,0,High
43,78,9,4.0,0,High
73,60,2,3.2,0,High
91,51,5,1.2,0,Medium
87,73,4,0.5,1,Low
99,93,3,1.2,0,Low
57,54,5,5.8,0,High
79,80,6,4.7,1,Low
74,36,1,5.8,0,High
80,35,2,0.7,0,High
68,53,1,4.2,0,High
91,48,3,0.7,0,Medium
68,38,8,4.8,0,High
77,65,8,2.6,1,Low
81,69,4,1.0,1,Low
60,53,6,3.6,0,Medium
81,77,9,2.0,1,Low
52,92,7,4.1,0,High
88,98,2,4.1,0,High
80,82,2,4.4,0,High
56,83,3,6.0,0,High
95,71,8,2.6,1,Low
48,74,9,3.1,0,High
80,43,3,4.9,0,High
40,58,9,3.7,0,High
41,35,8,0.7,0,High
99,36,5,5.1,0,High
87,66,3,0.8,0,Low
68,82,7,1.4,0,Medium
72,47,9,1.1,0,Medium
49,67,6,0.9,0,High
89,88,3,0.6,0,Low
97,30,5,0.8,0,High
99,97,7,2.9,1,Low
79,73,8,1.9,1,Low
60,76,4,1.2,0,Medium
67,64,2,4.1,0,High
50,89,2,1.7,0,High
94,81,3,0.6,0,Low
73,37,8,2.8,0,High
47,70,1,2.2,0,High
98,32,7,2.3,0,High
61,98,6,2.9,0,Medium
47,43,2,4.2,0,High
88,55,9,3.9,1,Medium
54,99,5,5.7,0,High
56,87,2,3.3,0,High
99,69,3,3.1,0,Low
62,80,7,1.7,0,Medium
63,34,7,4.7,0,High
84,61,1,1.3,0,High
58,30,4,3.2,0,High
44,83,6,2.8,0,High
71,40,8,4.1,0,High
83,82,3,5.5,0,Low
40,37,3,5.7,0,High
62,54,8,1.4,0,Medium
76,69,8,1.9,1,Low
47,61,8,5.0,0,High
52,57,1,3.4,0,High
47,32,8,3.0,0,High
96,91,8,4.4,1,Low
62,56,2,3.8,0,High
82,74,9,5.8,1,Low
40,54,7,3.7,0,High
84,90,8,3.1,1,Low
90,73,2,3.5,0,High
63,75,4,4.9,0,Medium
74,43,7,3.9,0,High
63,37,6,4.1,0,High
56,77,7,5.8,0,High
44,43,1,3.9,0,High
59,94,8,2.6,0,High
60,36,7,4.3,0,High
79,78,4,4.1,1,Low
97,84,1,0.6,0,High
70,42,8,3.1,0,High
85,85,7,4.6,1,Low
75,85,8,3.2,1,Low
50,44,1,4.8,0,High
91,86,5,3.0,1,Low
54,87,9,5.9,0,High
58,64,5,2.1,0,High
46,45,3,1.0,0,High
90,37,9,2.9,0,High
67,74,9,3.5,0,Medium
90,69,4,2.4,1,Low
82,83,4,1.8,1,Low
97,43,8,4.2,0,High
44,88,7,2.6,0,High
44,82,5,4.0,0,High
69,56,6,4.8,0,Medium
93,76,3,4.7,0,Low
71,35,6,2.6,0,High
47,84,8,3.6,0,High
49,73,9,3.0,0,High
77,47,3,5.3,0,Medium
